Game;Players;Time;Complexity;Played;Mode;Picture;Genre;Favoritos
Defenders of the Last Stand;2,3,4;Super Long;;Yes;Cooperative;https://cf.geekdo-images.com/imagepage/img/buQzUL9WjsfUg7Pd_zqrjrKYRbs=/fit-in/900x600/filters:no_upscale()/pic3075584.jpg;;
Deus;2,3,4;;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/0Med1PEt-UPiEkFRSAOIRoou4sg=/fit-in/900x600/filters:no_upscale()/pic2219643.png;;
Dice City;2,3;;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/K9jKH83gefQ7_izAHh5l89NsJ-E=/fit-in/900x600/filters:no_upscale()/pic2561229.jpg;;
Dice Town;4,5;;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/j-pXIMyEgNALW1efRdZhMG8kstQ=/fit-in/900x600/filters:no_upscale()/pic3763073.jpg;;
Disc Duelers;2,4;;;No;Competitive, Team-based;https://cf.geekdo-images.com/imagepage/img/C7-uRxs6q48gjgJq5mustq1aBGM=/fit-in/900x600/filters:no_upscale()/pic1638838.jpg;;
Dominion;2,3,4;Short;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/2_nRoM94UdtMV2dh_t3C3fl4QPM=/fit-in/900x600/filters:no_upscale()/pic394356.jpg;;
Downforce;3,4,5,6;;Casual;No;Competitive;https://cf.geekdo-images.com/imagepage/img/ozyfHOhaPip151N368D7PjbUoS8=/fit-in/900x600/filters:no_upscale()/pic3432548.png;;
Dragon Racer;3,4;;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/RsVEF_z9t4JuNQ9wO0BVgJcnhEc=/fit-in/900x600/filters:no_upscale()/pic2731638.jpg;;
Dream Home;2,3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/loZRM78kYm9VNmjQJy3qe54Uilg=/fit-in/900x600/filters:no_upscale()/pic3176771.jpg;;
The Duke;2;Quick;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/aqbmx-qQlmaLdUlBsQdZtlLyIkw=/fit-in/900x600/filters:no_upscale()/pic1688903.jpg;;
Dungeon Lords;4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/lW7C8Lbrcq4nZc52QG6FLz4SL-U=/fit-in/900x600/filters:no_upscale()/pic569340.jpg;;
Eclipse;3,4,5,6;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/k3PWtaZqHdpPBrAGd5yg4EKACbU=/fit-in/900x600/filters:no_upscale()/pic1974056.jpg;;
